k,n,width,height,time
16,50,6016,3384,72.482769
16,50,6016,3384,72.357176
32,50,6016,3384,146.272818
32,50,6016,3384,146.233908
64,50,6016,3384,281.970289
64,50,6016,3384,281.818592
128,50,6016,3384,518.394423
128,50,6016,3384,518.600667
256,50,6016,3384,974.492846
256,50,6016,3384,974.396854
16,50,5120,2880,49.400968
16,50,5120,2880,49.345493
32,50,5120,2880,111.608360
32,50,5120,2880,111.038547
64,50,5120,2880,205.178728
64,50,5120,2880,205.391111
128,50,5120,2880,376.931233
128,50,5120,2880,376.732584
256,50,5120,2880,706.938529
256,50,5120,2880,707.109566
16,50,3840,2160,28.806814
16,50,3840,2160,28.632130
32,50,3840,2160,62.169009
32,50,3840,2160,62.184889
64,50,3840,2160,117.325837
64,50,3840,2160,117.674364
128,50,3840,2160,213.805187
128,50,3840,2160,213.699250
256,50,3840,2160,399.851360
256,50,3840,2160,400.702231
16,50,1920,1080,7.132247
16,50,1920,1080,8.136916
32,50,1920,1080,15.834777
32,50,1920,1080,15.739797
64,50,1920,1080,29.035940
64,50,1920,1080,29.154321
128,50,1920,1080,53.313922
128,50,1920,1080,53.299296
256,50,1920,1080,99.551895
256,50,1920,1080,99.615035
16,50,1280,720,3.346432
16,50,1280,720,3.352460
32,50,1280,720,7.199049
32,50,1280,720,7.183806
64,50,1280,720,13.120897
64,50,1280,720,13.104138
128,50,1280,720,23.719402
128,50,1280,720,23.683070
256,50,1280,720,44.428879
256,50,1280,720,44.438321
16,50,900,600,1.973750
16,50,900,600,1.974116
32,50,900,600,4.208696
32,50,900,600,4.209281
64,50,900,600,7.565883
64,50,900,600,7.583333
128,50,900,600,13.779827
128,50,900,600,13.759758
256,50,900,600,25.782251
256,50,900,600,25.775703
16,50,640,480,1.108928
16,50,640,480,1.108661
32,50,640,480,2.393548
32,50,640,480,2.400986
64,50,640,480,4.284385
64,50,640,480,4.317372
128,50,640,480,7.880856
128,50,640,480,7.905101
256,50,640,480,14.734919
256,50,640,480,14.754069
16,50,320,240,0.294856
16,50,320,240,0.294837
32,50,320,240,0.603994
32,50,320,240,0.603848
64,50,320,240,1.088504
64,50,320,240,1.088903
128,50,320,240,1.972921
128,50,320,240,1.972066
256,50,320,240,3.696101
256,50,320,240,3.683953
